text 1	text 2	text 3	text 4
conviction	유죄 선고[판결]	She has six previous convictions for theft.	그녀는 이미 6건의 절도 전과가 있다.
inevitable	불가피한, 필연적인	It was an inevitable consequence of the decision.	그것은 그 결정의 필연적인 결과였다.
abolish	(법률・제도・조직을) 폐지하다	This tax should be abolished.	이 세금은 폐지되어야 한다.
occupation	직업	Please state your name, age and occupation below.	아래에 성명, 연령, 직업을 기입하세요.
alleviate	완화하다	to alleviate suffering.	고통을 완화하다.
imperturbable	쉽게 동요하지 않는; 차분한	침착하게.	calmly.
copious	엄청난 (양의), 방대한	copious amounts of water.	엄청난 양의 물.
devastate	(한 장소나 지역을) 완전히 파괴하다	The bomb devastated much of the old part of the city.	그 폭탄은 그 도시의 구시가지 대부분을 완전 폐허로 만들어 놓았다.
engross	몰두하게 만들다	이익을 농단하다.	monopolize the profit.
venomous	독이 있는	그는 표독스럽게 생겼다.	.
jeopardy		be in jeopardy.	위험에 빠지다.
apathetic	무관심한, 심드렁한	The illness made her apathetic and unwilling to meet people.	몸이 아프다 보니 그녀는 사람들을 만나는 게 관심도 없고 내키지도 않았다.
nebulous	흐릿한, 모호한	a nebulous concept.	모호한 개념.
stumble	발이 걸리다, 발을 헛디디다	The child stumbled and fell.	그 아이가 발을 헛디뎌 넘어졌다.
discernible	보고 알 수 있는; 인식[식별]할 수 있는		
smuggle	밀수하다, 밀반입[출]하다	They were caught smuggling diamonds into the country.	그들은 다이아몬드를 그 나라로 밀반입하다[몰래 들여오다] 잡혔다.
exempt	(…이) 면제되는	The interest on the money is exempt from tax.	그 돈에 붙는 이자는 세금이 면제된다.
relinquish	(특히 마지못해 소유권 등을) 포기하다[내주다]	He was forced to relinquish control of the company.	그는 할 수 없이 그 회사에 대한 지배권을 포기해야 했다.
rampant	걷잡을 수 없는, 만연[횡행]하는	rampant inflation.	걷잡을 수 없는 인플레이션.
recurring	되풀이하여 발생하는	The recurring decimal 3.999… is also described as 3.9 recurring.	순환 소수 3.999…는 3. 순환마디 9로 나타내기도 한다.
composure	(마음의) 평정	to keep/lose/recover/regain your composure.	마음의 평정을 잃지 않다/잃다/되찾다/되찾다.
insulated	절연[단열/방음] 처리가 된	insulated wires.	절연 처리가 되어 있는 전선.
requisite	(어떤목적에)필요한	She lacks the requisite experience for the job.	그녀는 그 일자리에 필요한 경험이 부족하다.
staple	주된, 주요한	Jeans are a staple part of everyone's wardrobe.	청[면]바지는 모든 사람들의 옷장에서 주된 품목이다.
inconsistent	(진술 등이) 내용이 다른[모순되는]	The report is inconsistent with the financial statements.	그 보고서는 재무제표와 내용이 안 맞는다.
gloat	(자신의 성공에) 흡족해 하다; (남의 실패를) 고소해 하다	She was still gloating over her rival's disappointment.	그녀는 아직도 경쟁자의 실의를 고소해 하고 있었다.
anticipate	예상하다	We don't anticipate any major problems.	무슨 큰 문제가 있을 것으로는 예상되지는 않는다.
taunt	놀리다, 비웃다, 조롱하다	The other kids continually taunted him about his size.	다른 아이들이 그의 체격을 두고 그를 계속 놀렸다.
emerge	(어둠 속이나 숨어 있던 곳에서) 나오다[모습을 드러내다]	The swimmer emerged from the lake.	그 수영객이 호수에서 모습을 드러냈다.
faulty	흠[결함]이 있는, 불완전한	Ask for a refund if the goods are faulty.	상품에 흠이 있으면 환불을 요청하세요.
drudgery	힘들고 단조로운 일	리포트 쓰는 일은 고역이다.	.
amend	(법 등을) 개정[수정]하다	He asked to see the amended version.	그는 수정본을 보여 달라고 요청했다.
exhaustively	철저하게, 남김없이, 속속들이	exhaustive research/tests.	철저한 연구/검사.
inadvertently	무심코, 우연히, 부주의로	We had inadvertently left without paying the bill.	우리가 무심코 계산을 하지 않고 떠났었다.
pensive	(특히 슬픔・걱정 때문에) 깊은 생각[수심]에 잠긴, 수심 어린	a pensive mood.	수심 어린 분위기.
greed	탐욕	His actions were motivated by greed.	그의 행동들은 탐욕이 동기가 되었다.
posthumous	(어떤 사람) 사후(死後)의	a posthumous award for bravery.	사후 무공 훈장.
salutary	(흔히 불쾌해 보이지만) 유익한, 효과가 좋은	a salutary lesson/experience/warning.	유익한 교훈/경험/도움이 되는 경고.
ample	충분한	ample opportunity / evidence / space / proof.	충분한 기회/증거/공간/증거.
habitable	(장소가 사람이) 주거할 수 있는	The house should be habitable by the new year.	신년까지는 그 집에 사람이 주거할 수 있게 해야 한다.
exert	(권력・영향력을) 가하다[행사하다]	He exerted all his authority to make them accept the plan.	그는 그들이 그 계획을 받아들이도록 모든 권한을 행사했다.
folly	판단력 부족; 어리석음; 어리석은 행동[생각]	an act of sheer folly.	순전히 판단력 부족이 낳은[어리석은] 행동.
hallow	신성하게[깨끗하게] 하다		
terse	(예의에 어긋날 정도로) 간결한[간단한]	a terse style.	간결한 문체.
skeptical	의심 많은, 회의적인, 회의를 나타내는, 회의론자 같은; 신용하지 않는	be skeptical about[of].	…을 의심하다.
dose	(약의) 복용량[투여량]	a high/low/lethal dose.	다량의/소량의 복용[투여]량/치사량.
adduce	(증거・이유 등을) 제시하다	Several factors have been adduced to explain the fall in the birth rate.	출산율 하락을 설명하기 위해 여러 가지 요인들이 제시되어 왔다.
gist	(말・글・대화의) 요지[골자]	to get the gist of an argument.	주장의 요지를 이해하다.
roam	(이리저리) 돌아다니다, 배회[방랑]하다	The sheep are allowed to roam freely on this land.	이 땅 위에서는 양들이 마음대로 돌아다니도록 내버려둔다.
console	위로하다, 위안을 주다	Nothing could console him when his wife died.	아내가 죽었을 때 그에게는 그 무엇도 위로가 되지 않았다.
deficiency	(필수적인 것의) 결핍[부족](증)	Vitamin deficiency in the diet can cause illness.	(늘 섭취하는) 음식에 비타민이 부족하면 병을 유발할 수도 있다.
estrangement	(부부간의) 별거 (기간); (관계의) 소원	a period of estrangement from his wife.	그와 아내와의 한동안의 별거.
alter	변하다, 달라지다; 바꾸다, 고치다	Prices did not alter significantly during 2004.	2004년에는 물가가 큰 변동이 없었다.
bustle	바삐 움직이다, 서두르다	She bustled around in the kitchen.	그녀는 부엌에서 바삐 움직였다.
feeble	아주 약한	a feeble old man.	기력이 없는 노인.
jot	(부정문을 강조하여) 조금도 …아닌	There's not a jot of truth in what he says.	그가 하는 말에 진실이라곤 조금도 없다.
rip off	(갑자기・거칠게) 찢다[찢어지다]	I ripped my jeans on the fence.	내가 울타리에 걸려 청바지가 찢어졌다.
trait	(성격상의) 특성	personality traits.	성격적 특성.
colossal	거대한, 엄청난	a colossal statue.	거대한 조각상.
spell	(어떤 단어의) 철자를 말하다[쓰다]	How do you spell your surname?.	당신의 성은 철자를 어떻게 쓰나요[철자가 어떻게 되나요]?.
dispose	(특정한 방식・위치에 물건이나 사람을) 배치하다	to have a cheerful disposition.	성격이 쾌활하다.
misgiving	의혹; 불안감	I had grave misgivings about making the trip.	나는 그 여행을 하는 데 대해 예사롭지 않은 불안감이 들었다.
deduct	(돈・점수 등을) 공제하다[제하다/감하다]	The cost of your uniform will be deducted from your wages.	유니폼 값은 당신 급여에서 공제될 거예요.
squalid	지저분한, 불결한	squalid housing.	지저분한 주택.
meager	메마른	a meagre diet of bread and water.	빵과 물로 된 빈약한 식사.
corrupt	부패한, 타락한	a corrupt regime.	부패 정권.
abysmal	최악의, 최저의	Ahead of them was a gaping abyss.	그들 앞에 깊은 구렁텅이가 아가리를 떡 벌리고 있었다.
magnitude	(엄청난) 규모[중요도]	We did not realize the magnitude of the problem.	우리는 그 문제의 규모[중요도]를 깨닫지 못했다.
incumbent	(공적인 직위의) 재임자	the present incumbent of the White House.	현 백악관의 주인(인 대통령).
plight	역경, 곤경	the plight of the homeless.	노숙자들[집 없는 사람들]의 역경.
plausible	타당한 것 같은, 이치에 맞는, 그럴듯한	Her story sounded perfectly plausible.	그녀의 이야기는 전적으로 타당해 보였다.
implacable	확고한, 바꿀 수 없는	implacable hatred.	결코 누그러지지 않을 증오.
vagary	(날씨 등의) 예측 불허의 변화[변동]		
reverse	(정반대로) 뒤바꾸다, 반전[역전]시키다	to reverse a procedure / process / trend.	절차/과정/흐름을 뒤바꾸다.
waive	(권리 등을) 포기하다	He does not intend to relinquish power.	
instill		( instill+[목]+[전]+[명] ) instill ideas into a person's mind.	…에게 사상을 서서히 주입시키다.
falter	불안정해지다, 흔들리다	The economy shows no signs of faltering.	경제가 흔들리고 있다는 조짐은 없다.
afford	(…을 살・할・금전적・시간적) 여유[형편]가 되다	Can we afford a new car?.	우리가 새 차를 살 여유가 돼요?.
covetous	탐내는, 갈망하는	He had long coveted the chance to work with a famous musician.	그는 유명 음악인과 함께 작업할 수 있는 기회를 오랫동안 갈망하던 참이었다.
threshold	문지방	She stood hesitating on the threshold.	그녀는 문지방에서 머뭇거리며 서 있었다.
slack	느슨한, (느슨하게) 늘어진[처진]	She was staring into space, her mouth slack.	그녀는 입을 헤 벌린 채 허공을 응시하고 있었다.
disregard	무시[묵살]하다	The board completely disregarded my recommendations.	위원회가 내 제안을 완전히 묵살했다.
denounce	맹렬히 비난하다	She publicly denounced the government's handling of the crisis.	그녀는 정부의 위기관리를 공개적으로 맹렬히 비난했다.
attractive	(특히 성적으로) 매력적인	an attractive woman.	매력적인 여자.
refute	논박[반박]하다	to refute an argument/a theory, etc.	주장/이론 등을 논박하다.
allot	(시간・돈・업무 등을) 할당[배당]하다	I completed the test within the time allotted.	나는 할당된 시간 내에 그 테스트를 완료했다.
woo	지지를 호소하다, (지지를 얻으려고) 구애하다	Voters are being wooed with promises of lower taxes.	유권자들은 더 낮은 세금을 약속한다는 구애를 받고 있다.
acute	격심한, 극심한	There is an acute shortage of water.	물 부족이 극심하다.
impeccable	흠 잡을 데 없는	impeccable manners/taste.	흠 잡을 데 없는 태도/취향.
illustrious	저명한; 걸출한	The composer was one of many illustrious visitors to the town.	그 작곡가는 그 소도시를 찾은 많은 저명한 방문객들 중 한 명이었다.
harassing	괴롭히는, 귀찮게 구는	He has complained of being harassed by the police.	그는 경찰로부터 괴롭힘을 당하고 있다고 호소해 왔다.
prejudice	편견	a victim of racial prejudice.	인종 편견의 희생자.
contract	계약[약정](서)	to enter into/make/sign a contract with the supplier.	공급자와 계약에 들어가다/계약을 하다/계약서에 서명하다.
accumulate	(서서히) 모으다, 축적하다	I seem to have accumulated a lot of books.	내가 책을 많이 모은 것 같다.
enmesh	(헤어나기 힘든 곤경에) 얽어 넣다[걸려들게 하다]	All too often they become enmeshed in deadening routines.	
perjury	위증죄	She was sentenced to two years in jail for committing subornation of perjury.	그녀는 위증 교사 죄로 2년간 복역하라는 선고를 받았다.
abandon	(특히 돌볼 책임이 있는 사람을) 버리다[떠나다/유기하다]	The baby had been abandoned by its mother.	그 아기는 엄마에게 버림을 받은 것이었다.
accidental	우연한, 돌발적인	a verdict of accidental death.	사고사라는 평결.
fugitive	도망자, 탈주자	a fugitive from justice.	법망을 피해 다니는 사람.
remit	소관	a remit to report on medical services.	의료 서비스에 대해 보고하는 소관.
degrade	비하[모멸]하다	This poster is offensive and degrades women.	이 포스터는 저속하고 여성을 비하한다.
frill	(옷・커튼 등의) 주름장식	a white blouse with frills at the cuffs.	소매에 주름장식이 있는 흰색 블라우스.
indifferent	무관심한	The government cannot afford to be indifferent to public opinion.	정부로서는 여론에 무관심할 수가 없다.
istorted		[형용사].	
remote	외진, 외딴	a remote beach.	외진 해변.
insincere	진실되지 못한	an insincere smile.	가식적인 미소.
assert	(사실임을 강하게) 주장하다	She continued to assert that she was innocent.	그녀는 계속해서 자기가 무죄라고 주장했다.
crude	대충의, 대강의	In crude terms, the causes of mental illness seem to be of three main kinds.	거칠게 말해서, 정신 질환의 원인은 세 가지 주된 유형으로 이뤄지는 것 같다.
skim	(액체 위에 뜬 기름기 등을) 걷어 내다	Skim the scum off the jam and let it cool.	잼에서 더껑이를 걷어 내고 식게 놔 두어라.
impromptu	(사전 준비 없이) 즉흥적으로[즉석에서] 한	an impromptu speech.	즉흥 연설.
candid	솔직한	a candid statement / interview.	솔직한 진술/인터뷰.
pivotal	중심(축)이 되는	a pivotal role in European affairs.	유럽 문제들에서 중심되는 역할.
accessible	접근[입장/이용] 가능한	The remote desert area is accessible only by helicopter.	그 외딴 사막 지역은 헬리콥터로만 갈 수 있다.
psyche	마음, 정신, 심령	the human psyche.	인간의 마음[심령].
placid	(쉽게 동요하거나 짜증내지 않고) 차분한[얌전한]	a placid baby / horse.	얌전한 아기/말.
latent	잠재하는, 잠복해 있는	latent disease.	잠복 중인 병.
embellish	장식하다, 꾸미다	그 이야기는 조금만 윤색하면 훌륭한 소설이 될 것이다.	.
settle	(논쟁 등을) 해결하다[끝내다], 합의를 보다	to settle a dispute/an argument/a matter.	분쟁/언쟁/문제를 해결하다.
overhaul	(기계・시스템의) 점검[정비]	a complete/major overhaul.	완전한/대규모 점검.
obscure	잘 알려져 있지 않은, 무명의	an obscure German poet.	독일의 무명 시인.
abruptly	갑자기(suddenly), 불쑥, 뜻밖에; 퉁명스럽게, 무뚝뚝하게	an abrupt change/halt/departure.	갑작스런 변화/돌연한 중단/갑작스런 출발.
extrovert	외향적인 사람		
deceptive	기만적인, 현혹하는	a deceptive advertisement.	기만적인 광고.
valiant	용맹한; 단호한	valiant warriors.	용맹한 전사들.
culprit	범인	The police quickly identified the real culprits.	경찰이 즉각 진범을 밝혀냈다.
divulge	(비밀을) 알려주다[누설하다]	Police refused to divulge the identity of the suspect.	경찰이 용의자의 신원을 알려주기를 거부했다.
affiliation	(개인의 정치・종교적) 소속[가입]	He was arrested because of his political affiliation.	그는 정치 단체 가입 문제로 체포되었다.
formidable	가공할, 어마어마한	In debate he was a formidable opponent.	토론 때 그는 엄청난 상대였다.
depredation	약탈	강탈당하다.	be robbed of.
humble	겸손한	Be humble enough to learn from your mistakes.	자신의 실수에서 겸손하게 배워라.
irreparable	회복할[바로잡을] 수 없는	to cause irreparable damage/harm to your health.	건강에 회복할 수 없는 손상/해를 입히다.
isolate	격리하다, 고립시키다	Patients with the disease should be isolated.	이 병에 걸린 환자들은 격리시켜야 한다.
designate	지정[지적]하다	This area has been designated (as) a National Park.	이 지역은 국립공원으로 지정된 곳이다.
bargain	(정상가보다) 싸게 사는 물건	I picked up a few good bargains in the sale.	나는 그 세일 때 좋은 물건을 몇 가지 싸게 샀다.
ephemeral	수명이 짧은, 단명하는		
segregate	(사람들을 인종・종교・성별에 따라) 분리[차별]하다	a culture in which women are segregated from men.	여자들이 남자들과 차별받는 문화.
improbable	사실[있을 것] 같지 않은	an improbable story.	사실 같지 않은 이야기.
sheer	(크기・정도・양을 강조하여) 순전한	The area is under threat from the sheer number of tourists using it.	그 지역은 순전히 그곳을 이용하는 관광객 수만으로도 위협을 받고 있다.
sedative	진정제	진정제를 복용하다.	take a sedative.
paramount	다른 무엇보다[가장] 중요한	This matter is of paramount importance.	이 문제가 다른 무엇보다 중요하다.
metamorphosis	탈바꿈, 변형, 변태	the metamorphosis of a caterpillar into a butterfly.	애벌레가 나비가 되는 탈바꿈.
sojourn	체류	불법체류자.	an illegal alien[immigrant].
prudent	신중한	a prudent businessman.	신중한 사업가.
shrewd	상황 판단이 빠른	a shrewd businessman.	상황 판단이 빠른 사업가.
equivocal	모호한	She gave an equivocal answer, typical of a politician.	그녀는 정치인 특유의 모호한 답변을 했다.
subtle	미묘한, 감지하기 힘든	subtle colours/flavours/smells, etc.	감지하기 힘든 색깔/향/냄새 등.
deadlock	(협상의) 교착 상태	European agriculture ministers failed to break the deadlock over farm subsidies.	유럽 국가들의 농림부 장관들이 농업 보조금을 둘러싼 교착 상태를 타개하지 못했다.
effect	영향; 결과, 효과	the effect of heat on metal.	열이 금속에 미치는 영향.
inordinate	과도한, 지나친		
pretend	…인 척하다[것처럼 굴다], 가식적으로 행동하다	I'm tired of having to pretend all the time.	나는 언제나 가식적으로 행동해야 하는 것에 질렸다.
dilute	희석하다, 묽게 하다	The paint can be diluted with water to make a lighter shade.	더 옅은 색조를 내려면 페인트에 물을 섞어 희석하면 된다.
donate	(특히 자선단체에) 기부[기증]하다	He donated thousands of pounds to charity.	그는 자선 단체에 수천 파운드를 기부했다.
dismay	(충격을 받은 뒤의) 실망, 경악	She could not hide her dismay at the result.	그녀는 그 결과에 실망[경악]을 감추지 못했다.
periphery	(어떤 범위의) 주변	industrial development on the periphery of the town.	그 소도시 주변부의 산업 개발.
blast	폭발	a bomb blast.	폭탄 폭발.
enhance	(좋은 점・가치・지위를) 높이다[향상시키다]	This is an opportunity to enhance the reputation of the company.	이것은 회사의 명성을 높일 기회입니다.
dent	(단단한 표면을 세게 쳐서) 움푹 들어가게 만들다[찌그러뜨리다]	The back of the car was badly dented in the collision.	그 충돌로 승용차 뒷부분이 심하게 찌그러졌다.
endow	(학교 등의 기관에 많은 돈을) 기부하다	She had endowed Marcus with the qualities she wanted him to possess.	그녀는 마르쿠스가 그녀가 원하는 자질들을 지니고 있다고 믿었었다.
testify	(특히 법정에서) 증언[진술]하다	She refused to testify against her husband.	그녀는 남편에게 불리한 증언을 하기를 거부했다.
evade	(어떤 일이나 사람을) 피하다[모면하다]	For two weeks they evaded the press.	그들은 2주 동안 언론을 피했다.
enigma	수수께끼 (같은 사람/것/일)		
hideous	흉측한, 흉물스러운, 끔찍한	a hideous crime.	끔찍한 범죄.
tacit	암묵적인, 무언의	tacit approval/support/knowledge.	암묵적인 찬성/지지/지식.
clandestine	비밀리에 하는, 은밀한	a clandestine meeting/relationship.	비밀회의/은밀한 관계.
galvanize	충격 요법을 쓰다	The urgency of his voice galvanized them into action.	그의 목소리에 담긴 다급함에 화들짝 놀라 그들이 행동에 나섰다.
conscript	징집[징병]하다	He was conscripted into the army in 1939.	그는 1939년에 육군에 징집되었다.
unobtrusive	불필요하게 관심을 끌지 않는, 지나치게 야단스럽지 않은	The service at the hotel is efficient and unobtrusive.	그 호텔의 서비스는 효율적이고 지나치게 야단스럽지 않다.
arid	매우 건조한	arid and semi-arid deserts.	건조 및 반건조 사막 지역.
luminous	어둠에서 빛나는, 야광의; 빛을 발하는	luminous paint.	야광 페인트.
delineate	(상세하게) 기술하다[그리다/설명하다]	The ship's route is clearly delineated on the map.	그 배의 항로가 지도에 분명히 그려져 있다.
mundane	재미없는, 일상적인	a mundane task/job.	재미없는 일/직장.
turbulent	격동의, 격변의	a short and turbulent career in politics.	짧고 격동적인 정치 경력.
decipher	판독[해독]하다	to decipher a code.	암호를 해독하다.
notorious	악명 높은	a notorious criminal.	악명 높은 범죄자.
earmark	(특정 목적용으로) 배정[결정/예정]하다	The factory has been earmarked for closure.	그 공장은 폐쇄가 결정되었다.
ecology	생태(계); 생태학	plant/animal/human ecology.	식물/동물/인간의 생태.
altruistic		이타적인 마음을 가지다.	have altruistic mind.
attenuate	약화시키다, 희석시키다	The drug attenuates the effects of the virus.	그 약물은 바이러스의 영향을 약화시킨다.
blur	흐릿한 형체	His arm was a rapid blur of movement as he struck.	그는 팔이 제대로 안 보일 정도로 빠르게 두들겼다.
ostensible	(실제로는 그렇지 않겠지만) 표면적으로는	The ostensible reason for his absence was illness.	그가 불참한 표면적인 이유는 병이었다.
sinister	사악한, 해로운; 불길한	There was something cold and sinister about him.	그에게는 차갑고 사악한 뭔가가 있었다.
longevity	장수; 오래 지속됨	We wish you both health and longevity.	(저희는) 두 분 다 건강하게 장수하시길 바랍니다.
becoming	어울리는	It was becoming more and more difficult to live on his salary.	그의 급여만 가지고 살기가 점점 더 힘들어지고 있었다.
tactile	촉각[촉감]의; 촉각을 이용한	He's a very tactile man.	그는 사람들과의 접촉을 아주 좋아하는 남자이다.
rupture	(인체 내부 장기의) 파열	the rupture of a blood vessel.	혈관 파열.
digressive	본론을 떠난, 지엽적인		
ins and outs		Height: 6ft 2in.	높이: 6피트 2인치.
fastidious	세심한, 꼼꼼한	Everything was planned in fastidious detail.	모든 것이 세부적인 것까지 세심히 계획되었다.
onset	(특히 불쾌한 일의) 시작	the onset of disease / old age / winter.	질병/노년/겨울의 시작.
versatile	다재다능한	He's a versatile actor who has played a wide variety of parts.	그는 대단히 다양한 역할을 해 온 다재다능한 배우이다.
marginal	미미한, 중요하지 않은	a marginal improvement in weather conditions.	별로 나아진 게 없는 기상 상태.
irrigate	(땅에) 물을 대다, 관개하다	irrigated land / crops.	관개수를 대는 땅/관개수로 농사를 지은 작물.
abscond	(허가 없이 떠날 수 없는 장소를) 무단이탈하다, 종적을 감추다	그녀는 갑자기 잠적해 버렸다.	She suddenly disappeared.
proliferation	급증, 확산	attempts to prevent cancer cell proliferation.	암 세포 확산을 막기 위한 시도.
morbid	(특히 질병・죽음에 대한 관심이) 병적인[소름끼치는]	He had a morbid fascination with blood.	그는 병적으로 피에 매혹을 느꼈다.
aspire	열망[염원]하다	She aspired to a scientific career.	그녀는 과학계로 진출하기를 열망했다.
grim	(보기나 듣기에 아주) 엄숙한[단호한]	a grim face/look/smile.	엄숙한 얼굴/표정/미소.
pandemonium	대혼란	Pandemonium broke out when the news was announced.	그 소식이 발표되자 대혼란이 벌어졌다.
agitate	(특히 법적・사회적 사항 등의 변경을 강력히) 주장하다[요구하다]	political groups agitating for social change.	사회 변화를 주장하는 정치 단체들.
forage	먹이를 찾다	여물을 주다.	feed fodder to.
insight	통찰력	a writer of great insight.	대단한 통찰력을 지닌 작가.
paralysis	마비	paralysis of both legs.	양 다리 마비.
disperse	(이리저리) 흩어지다, 해산하다; 해산시키다	The fog began to disperse.	안개가 흩어지기 시작했다.
keen	간절히 …하고 싶은, …을 열망하는	John was very keen to help.	존은 정말 간절히 돕고 싶었다.
antipathy	(강한) 반감	personal/mutual antipathy.	개인적인/상호간의 반감.
disclaim	(무엇에 대해 모르거나 책임이 없다고) 말하다, (책임 등을) 부인하다	She disclaimed any knowledge of her husband's whereabouts.	그녀는 남편의 행방에 대해 전혀 아는 바가 없다고 말했다.
garrulous	수다스러운, 말이 많은	그는 술을 마시면 수다스러워진다.	Alcohol makes him talkative.
sap	수액(樹液)	Maple syrup is made from sap extracted from the sugar maple tree.	단풍 당밀은 사탕단풍나무에서 추출한 수액으로 만든다.
odorous	냄새가 나는	odorous gases.	냄새가 나는 기체들.
anonymous	익명인	an anonymous donor.	익명의 기증자.
exponent	(사상・학설 등의) 주창자	She was a leading exponent of free trade during her political career.	그녀는 정치 활동을 할 때 자유 무역의 선도적인 주창자였다.
languid	(움직임이) 힘없는[느릿느릿한]; 나른한	a languid wave of the hand.	손을 힘없이 흔듦.
crooked	비뚤어진, 구부러진	a crooked nose / smile.	비뚤어진 코/뒤틀린 미소.
abstract	추상적인	abstract knowledge/principles.	추상적인 지식/원칙들.
classification	분류	a style of music that defies classification.	분류가 안 되는 음악 양식.
constructive	건설적인	constructive criticism/suggestions/advice.	건설적인 비판/제안/충고.
conduct	(특정한 활동을) 하다	to conduct an experiment/an inquiry/a survey.	실험/(공식적인) 조사/(실태) 조사를 하다.
abstain	(투표에서) 기권하다	Ten people voted in favour, five against and two abstained.	10명이 찬성, 5명이 반대, 2명이 기권을 했다.
malnourished	영양실조의		
incidence	(사건 등의) 발생 정도[영향 범위]	an area with a high incidence of crime.	범죄 발생률이 높은 지역.
disdain	업신여김, 무시	to treat sb with disdain.	…를 업신여기다[무시하다].
aviation	항공(술)	civil/military aviation.	민간/군사 항공.
avert	방지하다, 피하다	A disaster was narrowly averted.	재난을 가까스로 방지했다.
gelatinous	젤리 같은	a gelatinous substance.	젤리 같은 물질.
fascinate	마음을 사로잡다, 매혹[매료]하다	China has always fascinated me.	중국은 항상 내 마음을 사로잡아 왔다.
amalgamate	합병[연합]하다[시키다]	The company has now amalgamated with another local firm.	그 회사는 이제 지역의 다른 회사와 합병되었다.
ratify	비준[재가]하다	The treaty was ratified by all the member states.	그 조약은 모든 회원국들의 비준을 받았다.
malign	(공개적으로) 비방[중상]하다	She feels she has been much maligned by the press.	그녀는 신문들로부터 많은 비방을 받아 왔다고 생각한다.
tarnish	(금속 등이 광택을 잃고) 흐려지다[변색되다]; 흐리게 하다, 변색시키다	The mirrors had tarnished with age.	그 거울들은 오래되어서 부옇게 흐려져 있었다.
preposterous	말도 안 되는, 터무니없는, 가당찮은	These claims are absolutely preposterous!.	이들 주장은 도저히 말도 안 돼요!.
invalid	(법적・공식적으로) 효력 없는[무효한]	The treaty was declared invalid because it had not been ratified.	그 조약은 비준을 받지 않았으므로 무효라고 선언되었다.
cite	(이유・예를) 들다[끌어 대다]	He cited his heavy workload as the reason for his breakdown.	그는 자기가 신경 쇠약에 걸린 이유로 과중한 업무량을 들었다.
expediency	[UC] 편의, 형편 좋음; 방편, 편리한 방법; [윤리] 편의주의; (악착같은) 사리(私利) 추구	편법을 쓰다.	adopt[resort to] an expedient.
unkempt	헝클어진, 단정하지 못한	greasy, unkempt hair.	기름기투성이의 헝클어진 머리카락.
speculate	추측[짐작]하다	We all speculated about the reasons for her resignation.	우리는 모두 그녀의 사직 이유를 짐작했다.
disseminate	(정보・지식 등을) 퍼뜨리다[전파하다]	Their findings have been widely disseminated.	그들이 발견한 결과는 널리 전파되었다.
scant	거의[별로] 없는, 부족한	I paid scant attention to what she was saying.	나는 그녀가 하는 말에 거의 신경을 쓰지 않았다.
intermediate	(두 가지 장소・사물・상태 등의) 중간의	an intermediate stage/step in a process.	어떤 과정의 중간 단계.
substantial	(양・가치・중요성이) 상당한	He ate a substantial breakfast.	그는 아침밥을 상당히 먹었다.
conceal	감추다, 숨기다	The paintings were concealed beneath a thick layer of plaster.	그 그림들은 두껍게 바른 회반죽 아래 감춰져 있었다.
literacy	글을 읽고 쓸 줄 아는 능력	a campaign to promote adult literacy.	성인의 문맹률 낮추기 운동.
furious	몹시 화가 난	She was absolutely furious at having been deceived.	그녀는 그동안 속아 온 것에 대해 그야말로 길길이 뛰었다.
mutable	변할 수 있는; 잘 변하는		
concede	(무엇이 옳거나 논리적임을) 인정하다[수긍하다]	‘Not bad,' she conceded grudgingly.	“나쁘진 않네.” 그녀가 마지못해 수긍했다.
grudge	원한, 유감	I bear him no grudge.	난 그에게 아무 유감없다.
prospect	(어떤 일이 있을) 가망[가능성]	There is no immediate prospect of peace.	즉시 평화가 찾아올 가망은 없다.
portable	휴대[이동]가 쉬운, 휴대용의	a portable TV.	휴대용 TV.
impute		( impute +[목]+[전]+[명] ) The police  impute  the accident to the bus driver's carelessness.	경찰은 사고의 원인을 버스 운전사의 부주의로 돌리고 있다.
kidnap	납치[유괴]하다	Two businessmen have been kidnapped by terrorists.	두 명의 사업가가 테러범들에게 납치되었다.
innovation	혁신, 쇄신	an age of technological innovation.	기술 혁신 시대.
auditory	청각의	auditory stimuli.	청각적 자극.
turmoil	혼란, 소란	emotional/mental/political turmoil.	정서적/정신적/정치적 혼란.
appropriate	적절한	an appropriate response / measure / method.	적절한 반응/조치/방법.
ironic	반어적인, 비꼬는	an ironic comment.	반어적인 논평.
complicity	(범행) 공모	to be guilty of complicity in the murder.	살인공모죄를 범했다.
impervious	…에 영향받지[휘둘리지] 않는	impervious to criticism / pain.	비판/고통에 휘둘리지 않는.
hamper	방해하다	A heavy snowfall hamper ed their progress.	폭설이 그들의 전진을 방해했다.
imply	(감정・생각을) 넌지시 나타내다[비치다], 은연중에 풍기다	Are you implying (that) I am wrong?.	지금 제가 틀렸다는 뜻인가요?.
elastic	(탄력이 있도록 고무 물질을 넣은) 고무 밴드[테이프/천 등]	This skirt needs some new elastic in the waist.	이 치마는 허리의 고무 부분을 새로 해야 한다.
exhilarate	아주 기쁘게[생기 나게/신나게] 만들다	Speed had always exhilarated him.	속도는 항상 그를 신나게 만들었다.
embark	(배에) 승선하다[승선시키다]	We stood on the pier and watched as they embarked.	우리는 부두에 서서 그들이 승선하는 것을 지켜보았다.
defunct	(지금은) 현존하지[행해지지/사용되지] 않는		
disparage	폄하하다	I don't mean to disparage your achievements.	당신의 업적을 폄하할 뜻은 없습니다.
